fr,dje
Le lancer de marteau est spectaculaire.,Marteau cetayan ga hansa.
Le marathon est épuisant.,Marathon ga fargandi.
Le semi-marathon fait 21 kilomètres.,Semi-marathon ga te kilomeetar 21.
La course de haies est technique.,Hing-kaataray zuruyan goo nda teknik.
Le 100 mètres est la course la plus rapide.,Meetar zangu ti zuruyan kaŋ ga cahã ka tonton.
Le relais 4x100 est une course d'équipe.,Relais 4x100 ti kunda zuru ize.
Le 400 mètres est très dur.,Meetar zangu taaci ga jaŋtu gumo.
Le 800 mètres combine vitesse et endurance.,Meetar zangu ahakku ga cahãyan nda duumiyan margasu.
Le 1500 mètres est la distance du mile métrique.,Meetar zenber nda zangu gu ti mile metrik mooru.
Le 3000 mètres steeple a des obstacles.,Meetar zenber hinza steeple goo nda yaaday.
Le 5000 mètres est une course de fond.,Meetar zenber gu ti zurari kuuku.
Le 10000 mètres est la plus longue distance sur piste.,Meetar zenber way ti zurari kuukanten fiildo boŋ.
La marche athlétique a des règles strictes.,Dirakoyan athletique goo nda ašariya šendayaŋ.
Le saut à la perche est impressionnant.,Gobu nda perche ga hansa.
L'haltérophilie est un sport de force.,Haltérophilie ti gaabi sport.
La gymnastique artistique est gracieuse.,Gymnastik artistique goo nda annuura.
La gymnastique rythmique utilise des accessoires.,Gymnastik rythmique ga jinay fooyaŋ goy.
Le trampoline permet de faire des sauts spectaculaires.,Trampoline ga bey ka gobu kaŋ ga hansa te.
Le plongeon est un mélange de gymnastique et de natation.,Cililiyaŋ ti gymnastik nda zinjiyan margasu.
La natation synchronisée est artistique.,Natation synchronisée ti artistik sport.
Le water-polo est physique.,Water-polo ga gaaham gaabi goy.
L'aviron se pratique en équipe.,Aviron ga te nda kunda.
Le canoë est une embarcation traditionnelle.,Canoë ti duula alamusey.
Le kayak est plus petit que le canoë.,Kayak ga kacca nda canoë.
La voile olympique a plusieurs catégories.,Voile olympique goo nda fasaley boobo.
Le motocross est bruyant.,Motocross ga yooje.
Le supercross se déroule dans des stades.,Supercross ga te fiildo beerey ra.
Le trial est un sport d'adresse à moto.,Trial ti moto boŋ feeriro sport.
L'enduro est une course de longue distance en moto.,Enduro ti moto boŋ zurari kuuku.
Le speedway se court sur un circuit ovale.,Speedway ga te fiildo kurkur-dendi ra.
La Formule 1 est le sommet du sport automobile.,Formula 1 ti mobil sport beene.
Le rallye se déroule sur des routes ouvertes.,Rallye ga te fondo feerikoyyaŋ boŋ.
Le karting est accessible aux enfants.,Karting ga hin ka te zankey do.
Le NASCAR est populaire aux États-Unis.,NASCAR ga woori Amerika ra.
Le drag racing est une course d'accélération.,Drag racing ti cahãndi zurari.
La dérive automobile est un sport de précision.,Automobile dérive ti feeriro sport.
Le monster truck écrase des voitures.,Monster truck ga moobiley boosa.
Le stock-car est un sport de contact.,Stock-car ti sport kaŋ ga gaaham goy.
Le football américain est violent.,Football américain ga hanse.
Le rugby à XV comporte quinze joueurs.,Rugby à XV goo nda boro way cindi gu.
Le rugby à XIII est différent du rugby à XV.,Rugby à XIII ga waana nda rugby à XV.
Le hockey sur glace est rapide.,Hockey sur glace ga cahã.
Le patinage artistique est élégant.,Patinage artistique goo nda annuura.
Le patinage de vitesse est une course.,Patinage de vitesse ti zuru-hokey.
Le bobsleigh se pratique en équipe.,Bobsleigh ga te nda kunda.
Le skeleton est dangereux.,Skeleton ga jaŋtu.
La luge peut être un sport ou un loisir.,Luge ga hin ka ti sport wala binekaani.
Le biathlon combine ski de fond et tir.,Biathlon ga ski de fond nda haŋa biraw margasu.
Le combiné nordique mélange saut à ski et ski de fond.,Combiné nordique ga ski boŋ gobuyaŋ nda ski de fond margasu.
Le ski alpin est une descente rapide.,Ski alpin ti zumayankaŋ ga cahã.
Le skicross est une course d'obstacles en ski.,Skicross ti gaataray zuru ize ski boŋ.
Le ski acrobatique est spectaculaire.,Ski acrobatique ga hansa.
Le ski de fond est une épreuve d'endurance.,Ski de fond ti duumiyan konkur.
Le saut à ski est impressionnant.,Ski boŋ gobuyan ga hansa.
Le surf des neiges a plusieurs disciplines.,Harandaasu surf goo nda teerey boobo.
Le squash se joue dans une salle fermée.,Squash ga hook fu daabu ra.
Le racquetball est similaire au squash.,Racquetball ga hima nda squash.
Le cricket peut durer plusieurs jours.,Cricket ga hin ka gay jirbi boobo.
Le baseball est le sport national américain.,Baseball ti Amerika sport national.
Le softball est une variante du baseball.,Softball ti baseball dumi.
Le golf miniature est accessible à tous.,Golf miniature ga hin ka te boro kulu do.
Le bowling est un sport de précision.,Bowling ti feeriro sport.
Les quilles sont un jeu traditionnel.,Quilles ti alamusey hook.
Le tir à l'arc nécessite de la concentration.,Biraw ga laakal battaŋ ceeci.
Le tir au pigeon d'argile est olympique.,Tir au pigeon d'argile ti olympik sport.
Le tir sportif comprend plusieurs épreuves.,Tir sportif goo nda konkur boobo.
La chasse n'est pas considérée comme un sport par tous.,Hanno si honga sanda sport boro kulu do.
La pêche sportive relâche les poissons.,Pêche sportive ga hamsey taŋ.
La corrida est controversée.,Corrida boŋ kakaw ga boobo.
Le rodéo est populaire aux États-Unis.,Rodeo ga woori Amerika ra.
L'équitation comporte plusieurs disciplines.,Équitation goo nda teeri boobo.
Le dressage est une discipline équestre.,Dressage ti bari sport teeri.
Le saut d'obstacles est spectaculaire.,Yaaday boŋ gobuyan ga hansa.
Le concours complet est exigeant.,Concur timmante ga šendi.
Les courses hippiques attirent les parieurs.,Bari zurari ga kate caar-teerey.
Le polo est un sport équestre d'équipe.,Polo ti bari kunda sport.
Le kayak-polo se joue dans une piscine.,Kayak-polo ga hook bange ra.
Le hockey subaquatique se joue au fond de l'eau.,Hockey subaquatique ga hook hari cire.
L'ultimate est joué avec un frisbee.,Ultimate ga hook nda frisbee.
Le sepak takraw est un sport asiatique.,Sepak takraw ti Azi sport.
Le kabaddi est un sport de contact indien.,Kabaddi ti India gaham goyyan sport.
Le korfbal est mixte.,Korfbal ga woyyaŋ nda arey marga.
Le netball est populaire dans les pays du Commonwealth.,Netball ga woori Commonwealth gandawey ra.
Le tchoukball est un sport sans contact.,Tchoukball ti sport bila gaaham goyyan.
Le goalball est joué par des non-voyants.,Goalball ga hook danaw-siiyaŋ do.
Le torball est similaire au goalball.,Torball ga hima nda goalball.
Le showdown est un tennis de table pour non-voyants.,Showdown ti table tennis danaw-siiyan se.
Le cecifoot est un football pour malvoyants.,Cecifoot ti football moy-siiyan yaadakoy se.
Le volley assis est pratiqué par des personnes handicapées.,Volley assis ga hook malule borey do.
Le basket en fauteuil est paralympique.,Basket en fauteuil ti paralympique sport.
Le rugby en fauteuil est physique.,Rugby en fauteuil ga gaaham gaabi goy.
L'escrime en fauteuil demande de la précision.,Escrime en fauteuil ga feeriro ceeci.
Le tennis en fauteuil est spectaculaire.,Tennis en fauteuil ga hansa.
Le para-athlétisme comprend plusieurs disciplines.,Para-athlétisme goo nda teeri boobo.
La natation paralympique est compétitive.,Natation paralympique ti konkur.
Le tir paralympique exige de la concentration.,Tir paralympique ga laakal battaŋ ceeci.
La boccia est similaire à la pétanque.,Boccia ga hima nda pétanque.
Le powerchair football se joue en fauteuil électrique.,Powerchair football ga hook fauteuil électrique ra.
Le hockey sur luge est paralympique.,Hockey sur luge ti paralympique.
Le para ski alpin est rapide.,Para ski alpin ga cahã.
Le para snowboard est récent aux Jeux Paralympiques.,Para snowboard mana gay Jeux Paralympiques ra.
Le football à 5 est joué par des non-voyants.,Football à 5 ga hook danaw-siiyan do.
Le football à 7 est joué par des infirmes moteurs cérébraux.,Football à 7 ga hook borey kaŋ ga ti cerebral moteur malule do.
Le para-badminton est technique.,Para-badminton goo nda teknik.
Le para-tennis de table est rapide.,Para-tennis de table ga cahã.
Le triathlon paralympique est exigeant.,Triathlon paralympique ga jaŋtu.
Le paratriathlon combine trois sports.,Paratriathlon ga sport hinza margasu.
Le para-aviron est un sport d'équipe.,Para-aviron ti kunda sport.
Le para-canoë est récent aux Jeux Paralympiques.,Para-canoë mana gay Jeux Paralympiques ra.
Le para-cyclisme a plusieurs catégories.,Para-cyclisme goo nda fasaley boobo.
Le para-équestre est élégant.,Para-équestre goo nda annuura.
Le parataekwondo est paralympique depuis peu.,Parataekwondo mana gay kaŋ a te paralympique.
Le parajudo est adapté aux malvoyants.,Parajudo ga hanse moy-siiyaŋ yaadakoy se.
Le volleyball de plage se joue à deux.,Isa volleyball ga hook boro hinka.
Le football de plage se joue pieds nus.,Isa football ga hook ce gaa koonu.
Le handball de plage est spectaculaire.,Isa handball ga hansa.
Le rugby de plage est moins connu.,Isa rugby si bay boobo.
Le tennis de plage se joue sur le sable.,Isa tennis ga hook taasi boŋ.
"Bonjour, comment allez-vous?","Fofo, mate no go?"
"Je vais bien, merci.","Ay go baani, fofo."
Comment vous appelez-vous?,Mate ti ni maa?
Je m'appelle Ibrahim.,Ay maa Ibrahim.
D'où venez-vous?,Man no ni fun?
Je viens de Niamey.,Ay fun Niamey.
Quel âge avez-vous?,Jiiri marje ni gaa?
J'ai vingt-cinq ans.,Ay gaa jiiri waranka cindin.
Quelle heure est-il?,Waati foo no?
Il est dix heures du matin.,Susubay waati iway.
Avez-vous faim?,Ni heray?
"Oui, j'ai très faim.","Oho, ay heray gumo."
Que voulez-vous manger?,Ifo no ni ga ba ka ŋwa?
Je voudrais du riz.,Ay ga ba muusu.
L'eau est très importante pour la vie.,Hari ga hima hunayan se gumo.
Je dois aller au marché.,Ay ga hima ka koy habu.
Combien coûte ce tissu?,Jeeda marje no zankey woo?
Le soleil se lève à l'est.,Wayna ga tun wayna funay do.
La lune brille dans le ciel.,Handu ga kayna beene.
Les enfants jouent dans la cour.,Zankey ga hooroo batama ra.
Ma mère prépare le repas.,Ay nyaŋo ga ŋwaari hina.
Mon père est agriculteur.,Ay baabo fari-teeri no.
L'école est fermée aujourd'hui.,Lokol ga dabu hunkuna.
J'aime lire des livres.,Ay ga ba ka tira caw.
La saison des pluies commence bientôt.,Hari jiiri ga mati ka sintin.
Le Niger est un beau pays.,Nijer laabu hanno no.
Nous devons protéger l'environnement.,Iri ga hima ka kubaroo batu.
Le téléphone ne fonctionne pas.,Telefon si goy.
J'ai perdu mes clés.,Ay na ay kufaley mursu.
Cette robe est très belle.,Kwaayey woo ga boori gumo.
Le repas est prêt.,Ŋwaari ban.
Je vais dormir maintenant.,Ay ga koy jirbi sohõ.
Le village est loin de la ville.,Kwaara ga mooru koyra.
Le fleuve Niger est très long.,Isa hari ga ku gumo.
La route est en mauvais état.,Fondo si boori.
Il fait très chaud aujourd'hui.,Konno ga korna hunkuna.
"Demain, il va pleuvoir.","Suba, hari ga kaŋ."
Le médecin est absent.,Lokotoro si no.
Mon frère est malade.,Ay arma ga wirci.
Nous allons à la mosquée.,Iri ga koy alfijir.
Le champ de mil est grand.,Heeno fari ga beeri.
J'ai besoin d'acheter des médicaments.,Ay ga Safari day nooru ga.
Le thé est trop sucré.,Attaaya gaa sukur boobo.
La radio diffuse les nouvelles.,Radiyo ga alhabar ci.
L'électricité est coupée.,Kurant hun.
La voiture est en panne.,Mooto bara.
Il y a beaucoup de monde au marché.,Boro boobo go habu ra.
Ma sœur se marie demain.,Ay waymey ga hiiji suba.
Les vaches mangent de l'herbe.,Hawyey ga subu ŋwa.
Le berger surveille son troupeau.,Hawjom ga nga almaney batu.
L'oiseau construit son nid.,Curo ga nga fitilla tee.
Le chef du village a convoqué une réunion.,Kwaara jine-boro na margu ce.
La récolte a été bonne cette année.,Hegay boori jiiri woo.
Le puits est à sec.,Day koogu.
Ma grand-mère raconte des histoires.,Ay kaaya wande ga fillaa deede.
Les jeunes dansent pour la fête.,Arwasu ga gan jingar se.
Le commerçant vend des tissus.,Fataakey ga zankey neera.
L'artisan fabrique des bijoux.,Zankey-teeri ga taalam tee.
Le bois est utilisé pour faire du feu.,Tuuri ga goy nuune ra.
Les feuilles tombent des arbres.,Tuuri kobey ga kaŋ.
La saison sèche est difficile.,Jaw jiiri ga korno.
Le poisson est frais.,Hamiisa ga taaji.
Le vent souffle fort.,Haw ga hẽ nda gaabi.
La mosquée est au centre du village.,Alfijir go kwaara bindi ra.
Les enfants apprennent le Coran.,Zankey ga Alkoraana caw.
Le maïs pousse bien.,Masara ga zayandi boori.
La lune est pleine ce soir.,Handu ga too cini woo.
Le forgeron répare la houe.,Guuru-teeri ga saahẽ hanse.
La femme puise de l'eau au puits.,Woyborey ga hari gaa day ra.
L'homme cultive son champ.,Aru ga nga fari beeri.
Le tailleur coud des vêtements.,Zankay-dumbuŋko ga darbay dubbu.
Le marabout prie pour la communauté.,Alfaga ga adduwa jamaa se.
Je parle zarma et français.,Ay ga dendi nda faransi ciine.
La tradition est importante.,Alaada ga hima.
Les ancêtres nous ont laissé un héritage.,Kaayey na iri noo tubundi.
La calebasse est pleine de lait.,Gaasu ga too nda waa.
Le thé se boit trois fois.,Attaaya ga haŋandi cee hinza.
Le sac est lourd à porter.,Saaku ga tiŋ ka jare.
La fumée monte dans le ciel.,Dullu ga tun beene.
Le sel donne du goût à la sauce.,Ciiri ga kaŋ ham subu ga.
La nuit est calme et silencieuse.,Cini ga baani nda siw.
Le chameau traverse le désert.,Yo-yo ga saaji deesi.
Le mil est pilé dans le mortier.,Heeno ga sosandi hugu ra.
Le henné décore les mains des femmes.,Alhinna ga woyborey kambe taalam.
Les griots chantent les louanges.,Jesere-borey ga saabu don.
La hyène rôde autour du village.,Koro ga yaara kwaara kuryom.
Le lion est le roi des animaux.,Muusu ti almaney bonkoono.
La tortue marche lentement.,Kunturuumi ga dira susubante.
L'éléphant a de grandes oreilles.,Alhindi gonda hanji bambata.
Le serpent se cache dans l'herbe.,Gondi ga tugu subu ra.
La girafe a un long cou.,Kankanji gonda jinde ku.
Le scorpion est dangereux.,Dundu ga hansa.
La gazelle court rapidement.,Jerba ga zuru cahãnte.
Le singe grimpe aux arbres.,Waandaray ga ziji tuuri boŋ.
La poule pond des œufs.,Gorko ga tondi hay.
Le coq chante au lever du soleil.,Gorgori ga ciya wayna funyan waate.
La chèvre mange les feuilles.,Hincin ga tuuri kobey ŋwa.
Le mouton est sacrifié pour la fête.,Feeji ga koosandi jingar se.
La vache donne du lait.,Haw ga waa no.
Le chat attrape les souris.,Muuso ga ceebey di.
Le chien garde la maison.,Hansi ga fuwo batu.
L'âne porte de lourdes charges.,Farka ga jeraw tiiney zaa.
Le cheval court vite.,Bari ga zuru waasi.
Le taureau est fort.,Haw aru ga koon.
La grenouille saute dans l'eau.,Tooru ga sar hari ra.
L'abeille fait du miel.,Yuu ga yu tee.
La fourmi travaille dur.,Zeeri ga goy gumo.
Le papillon est coloré.,Kurkutu ga noorunte.
Le moustique transmet le paludisme.,Sunsun ga saaye nooru gandey.
La mouche se pose sur la nourriture.,Hammay ga goro ŋwaari boŋ.
Le crocodile vit dans le fleuve.,Isa-kopto ga goro isa hari ra.
Le hibou sort la nuit.,Koorukoobu ga fatta cini ra.
La chauve-souris dort la tête en bas.,Takafaranji ga jirbi nda boŋ cire.
Le feu de brousse est dangereux.,Saaji nuune ga hansa.
Les étoiles brillent dans le ciel.,Handarey ga nyala beene.
La pluie arrose les plantes.,Hari ga kali tuuri-izey.
Le tonnerre fait peur aux enfants.,Beene ciine ga zankey humburandi.
L'éclair illumine le ciel.,Meli-meli ga beene yeeri.
L'arc-en-ciel apparaît après la pluie.,Forkongo ga bangay hari banda.
Le nuage cache le soleil.,Buru ga wayna daabu.
La terre est sèche pendant la saison chaude.,Laabu ga koogu konno jiiri ra.
La poussière vole avec le vent.,Kuslu ga deesi nda haw.
La brousse est pleine d'animaux sauvages.,Saaji ga too nda ganda almaney.
Le fleuve déborde pendant la saison des pluies.,Isa ga too hari jiiri ra.
Le champ de riz a besoin d'eau.,Muusu fari ga hari ceeci.
Les légumes poussent bien.,Subu-ŋwaari ga zayandi boori.
Le palmier donne des dattes.,Dabindi ga dabinno izey no.
Le manguier est en fleur.,Mangoo ga boose.
La tomate est rouge et juteuse.,Tomatiti ga ciray nda ga yaasa.
L'oignon fait pleurer.,Albasallu ga boro hẽandi.
Le piment est très épicé.,Tonka ga korni gumo.
Le gingembre est bon pour la santé.,Citta ga boori gaaham baani se.
Le citron est acide.,Leemoo ga morra.
La mangue mûre est douce.,Mangoo nin ga kaan.
La banane est bonne pour l'énergie.,Kodowaru ga boori gaabi se.
La papaye aide la digestion.,Papay ga faaba gunde daama se.
L'ananas est juteux.,Goriba ga yaasa.
La patate douce est nourrissante.,Dankali ga ŋwaari boori no.
Le manioc est un aliment de base.,Rogo ti ŋwaari maana.
L'igname peut être bouilli ou frit.,Kudaku ga hin ka hina wala ka sooso.
Le sorgho sert à faire la bouillie.,Keeno ga goy busuuli hinari se.
Le pain est fait avec de la farine.,Takula ga tee nda hamni.
Le lait est bon pour les os.,Waa ga boori biriyey se.
Le fromage est fait avec du lait.,Fromage ga tee nda waa.
Le beurre est utilisé pour cuisiner.,Bu ga goy ŋwaari hinari se.
Le sucre rend les aliments doux.,Sukur ga ŋwaarey kaandi.
Le sel est extrait de la terre.,Ciiri ga kaa laabu ra.
Le miel est produit par les abeilles.,Yu ga fun yuu do.
La viande doit être bien cuite.,Ham ga hima ka hina boori.
Le poisson est riche en protéines.,Hamiisa gonda protein boobo.
Les œufs sont nutritifs.,Tondi gonda ŋwaari yaati boobo.
Les haricots donnent de la force.,Dunguri ga gaabi no.
L'arachide est cultivée partout.,Gujiya ga beera nangu kulu.
La sauce est bien épicée.,Ham subu ga korni boori.
Le couscous est un plat traditionnel.,Basi ti ŋwaari folloŋa alaada ŋwaari.
Le tô se mange avec les doigts.,Dumbari ga ŋwandi nda kambe.
Le riz est un aliment de base.,Muusu ti ŋwaari maana.
Le maïs peut être grillé ou bouilli.,Masara ga hin ka tonandi wala ka hina.
La soupe chaude réconforte.,Ham subu koonu ga bine kaanandi.
Le jus de fruit est rafraîchissant.,Tuuri-ize hari ga yeynandi.
L'eau potable est essentielle.,Hari haŋaani ga waajib.
Le thé vert est bon pour la santé.,Attaaya subu ga boori gaaham baani se.
Le café réveille le matin.,Caafe ga boro tunandi susubay.
La bière traditionnelle est faite avec du mil.,Doolo ga tee nda heeji.
Le vin de palme se récolte le matin.,Dabinyaa ga koosandi susubay.
L'eau de coco est naturellement sucrée.,Kookoyaa hari gonda sukur zaariyaŋ.
La pharmacopée traditionnelle utilise des plantes.,Laabu safar ga goy nda tuuriizey.
Le paludisme est une maladie grave.,Saaye ti jangiri beeri.
Le diabète touche de plus en plus de personnes.,Diabète ga boro boobo di ka tonton.
La tension artérielle doit être contrôlée.,Kuri tension ga hima ka guna.
La vaccination protège contre les maladies.,Pikiri ga boro hallasi jangirey ga.
L'hygiène prévient les infections.,Hanseyan ga jangirey ganji.
Le lavage des mains est important.,Kambe nyunayan ga hima.
Le SIDA est une maladie dangereuse.,SIDA ti jangiri futtu.
La grossesse dure neuf mois.,Gunde ga gay handu yagga.
L'accouchement a lieu à l'hôpital.,Hayari ga te lokotoro fuwo ra.
Le nouveau-né doit être allaité.,Ize taajey ga hima ka naanandi.
La circoncision est une tradition importante.,Bandiyan ti alaada beeri.
Le planning familial aide les familles.,Windi cinarey planifikaasiyon ga winde faaba.
La santé est une richesse.,Baani ti arzaka.
Le docteur prescrit des médicaments.,Lokotoro ga safar hantum.
L'infirmier fait les piqûres.,Lokotoro kacine ga pikiri kar.
La sagefemme aide à l'accouchement.,Woy lokotoro ga faaba hayari ra.
L'hôpital manque de médicaments.,Safar ga kuma lokotoro fuwo ra.
La clinique est plus chère que l'hôpital public.,Kliniik ga ka zey kono dey lokotoro fuwo.
Le guérisseur traditionnel connaît les plantes.,Safar-teeri ga tuuriizey bay.
La science étudie le monde.,Science ga aduɲɲa guna.
La physique explique les phénomènes naturels.,Physique ga bayandi zaariyaŋ hayey.
La chimie étudie les substances.,Chimie ga jinawey guna.
La biologie étudie les êtres vivants.,Biologie ga hundikoyney guna.
Les mathématiques sont utiles dans la vie quotidienne.,Mathematiques ga hanse zaari kulu duniyan ra.
L'addition est la première opération qu'on apprend.,Margayan ti goyo jinaa kaŋ boro ga caw.
La soustraction permet de calculer la différence.,Kaccyan ga faaba ka dumi kabu.
La multiplication est une addition répétée.,Yebuyan ti margayan kaŋ ga ye.
La division partage en parts égales.,Zamnu ga zamnu sasabante te.
La géométrie étudie les formes.,Geometrie ga takaaley guna.
Le cercle est une forme ronde.,Kurkuru ti takaala kurkurante.
Le carré a quatre côtés égaux.,Kaare gonda caraw taaci kaŋ ga sasaba.
Le triangle a trois côtés.,Triangle gonda caraw hinza.
Le rectangle a deux côtés plus longs.,Rectangle gonda caraw hinka kaŋ ga ku ka tonton.
La géographie étudie la Terre.,Geographie ga laabo guna.
Le Niger est un pays enclavé.,Nijer ti laabu kaŋ teeko ga kuma.
Le Sahara est un grand désert.,Saharaa ti saaji beeri.
Le fleuve Niger traverse plusieurs pays.,Isa Kwaara ga bisa laabey boobo ra.
L'Afrique est un continent.,Afiriki ti dunia laabu koyra beeri.
L'Europe est au nord de l'Afrique.,Eroop go Afiriki azawa haray.
L'Asie est le plus grand continent.,Aazi ti dunia laabu koyra beeri beeri.
L'Amérique a été découverte par Christophe Colomb.,Christophe Colomb na Ameriki gar.
L'Australie est un continent et un pays.,Ostrali ti dunia laabu koyra beeri nda laabu.
L'Antarctique est couvert de glace.,Antartik ga daabu nda harmahari.
L'océan Atlantique sépare l'Afrique et l'Amérique.,Atlantik teeko ga Afiriki nda Ameriki fay.
L'océan Pacifique est le plus grand océan.,Pasifik teeko ti teeko kulu ibeeroo.
L'océan Indien borde l'Afrique de l'Est.,Osendy teeko ga Afiriki waynakaŋay haray deesi.
La Méditerranée est une mer entre l'Europe et l'Afrique.,Mediteraane ti teeko kaŋ go Eroop nda Afiriki game.
La mer Rouge sépare l'Afrique et l'Asie.,Teeko Ciray ga Afiriki nda Aazi fay.
Le lac Tchad est partagé par quatre pays.,Caad goolo ga zamundi laabu taaci game.
Le mont Kilimanjaro est la plus haute montagne d'Afrique.,Kilimanjaro tondi ti Afiriki tondi kulu ikuyoo.
Les montagnes de l'Aïr sont au Niger.,Ayr tondey go Nijer ra.
Le climat sahélien est sec.,Sahel kongey ga koogu.
La forêt tropicale est humide.,Tuuri saaji tropikal ga yaasa.
Le pétrole est une ressource naturelle.,Patrol ti alman kaŋ ga duwandi zaariyaŋ.
L'uranium est exploité au Niger.,Uranium ga ceecandi Nijer ra.
L'or est un métal précieux.,Wura ti guuru hanno.
Le fer est utilisé pour fabriquer des outils.,Guuru ga goy jinay teeyan ra.
Le sel est extrait des mines.,Ciiri ga ceecandi guusu ra.
Le charbon est une source d'énergie.,Salmay ti gaabi hundey affoo.
L'énergie solaire utilise le soleil.,Wayna gaabi ga goy nda wayna.
L'énergie éolienne utilise le vent.,Haw gaabi ga goy nda haw.
L'énergie hydraulique utilise l'eau.,Hari gaabi ga goy nda hari.
L'électricité est produite par des centrales.,Kurant ga tee kurant teeyan fuwo ra.
Le barrage retient l'eau.,Baraazi ga hari gaay.
Le puits fournit de l'eau.,Day ga hari no.
Le forage va chercher l'eau profonde.,Forage ga guusu guusante te.
La pompe remonte l'eau.,Pompe ga hari sambu.
L'irrigation permet de cultiver en saison sèche.,Hari nooriyan ga fari beeri jaw jiiri ra.
L'école enseigne aux enfants.,Lokol ga cawandi zankey se.
L'enseignant explique la leçon.,Cawandiko ga darse bayandi.
Bonjour tout le monde.,Fofo borey kul.
Comment vas-tu aujourd'hui ?,Mate ni go hunkuna?
"Je vais bien, merci.","Ay go baani, barka."
Quel est ton nom ?,Mate ni maa?
Mon nom est Ali.,Ay maa ga ti Ali.
Où habites-tu ?,Man ni ga goro?
J'habite à Niamey.,Ay ga goro Niamey.
Quel âge as-tu ?,Jiiri combien ni du?
J'ai vingt ans.,Ay du jiiri waranka.
Que fais-tu dans la vie ?,Ifo no ni ga te alhaali ra?
Je suis étudiant.,Ay ga ti almajiri.
Il est agriculteur.,A ga ti farkoŋ.
Elle est enseignante.,A ga ti karamkwa.
Nous allons au marché.,Iri ga koy kaaso.
Ils jouent au football.,I ga baloon catu.
J'aime manger du riz.,Ay ga ba mo ŋwaari.
Elle boit de l'eau.,A ga hari haŋ.
Le soleil brille.,Wayna ga ka.
Il pleut beaucoup.,Hari ga ka gumo.
Ferme la porte s'il te plaît.,Ma fuwo daŋ alhanan.
Ouvre la fenêtre.,Ma fonetaro feeri.
Je suis fatigué.,Ay farga.
Je veux dormir.,Ay ga ba ay ma kani.
"Réveille-toi, il est tard.","Tun, wati bisa."
Lave tes mains avant de manger.,Ma ni kambey nyun za ni ga ŋwa.
Ce plat est délicieux.,Ŋwaari wo kaano.
Donne-moi de l'argent.,No ay se nooru.
Je n'ai pas d'argent.,Ay sinda nooru.
Combien ça coûte ?,Foti no a ga te?
C'est trop cher.,A ga daabu gumo.
Peux-tu m'aider ?,Ni ga hin ka ay faaba?
"Oui, bien sûr.","To, tabati."
Merci beaucoup.,Barka sosso.
De rien.,Abda.
Au revoir.,Kala tonton.
À demain.,Kala suba.
Bonne nuit.,Kani baani.
J'ai faim.,Haray ga ay di.
J'ai soif.,Goyo ga ay di.
Où sont les toilettes ?,Man no salga go?
C'est par ici.,Ne la no.
C'est par là.,Goo la no.
Je ne comprends pas.,Ay mana faham.
Parle plus lentement s'il te plaît.,Ma sanni te da hawru alhanan.
Que signifie ce mot ?,Ifo no sanni wo ga konno?
Je parle un peu zarma.,Ay ga zarma sanni kayna.
J'apprends le zarma.,Ay ga zarma dondon.
C'est facile.,A ga farhã.
C'est difficile.,A ga sandi.
Je suis heureux.,Ay bina kaan.
Je suis triste.,Ay bina sara.
Il fait chaud.,Haw ga gullo.
Il fait froid.,Sumay ga te.
J'ai besoin d'un médecin.,Ay ga laabukaw (médecin) laamiya.
Je suis malade.,Ay ga jante.
Ma tête me fait mal.,Ay boŋo ga ay doori.
Prends ce médicament.,Ma yaajo wo haŋ.
Le village est petit.,Kwaaroo ga kayna.
La ville est grande.,Birno ga beeri.
J'aime lire des livres.,Ay ga ba tira cawyan.
Quel est ton livre préféré ?,Mee no ga ti ni tira ka ni ga ba?
J'écoute de la musique.,Ay ga donko maa.
La musique est belle.,Donko kaano.
Je regarde la télévision.,Ay ga televiziyoŋ guna.
Le film était intéressant.,Film no kaano.
Nous allons au cinéma ce soir.,Iri ga koy sinema hunkuna wiciri.
Mon père travaille dur.,Ay baaba ga goy da gaabi.
Ma mère cuisine bien.,Ay nya ga ŋwaari tuusu kaano.
J'ai un frère et une sœur.,Ay du arme fo da wayme fo.
Mes enfants vont à l'école.,Ay izey ga koyকল (école).
L'école commence à huit heures.,Karamay ga sintin guuru ahakku.
Les élèves étudient leurs leçons.,Almajirey ga ngey dersej dondon.
Le professeur explique la leçon.,Karamkwa ga dersej fahamandi.
J'ai oublié mon stylo.,Ay dirma ay alkalamo.
Peux-tu me prêter un crayon ?,Ni ga hin ka ay no kireyoŋ (crayon)?
Le chat dort sur le canapé.,Muuso ga kani kanape boŋ.
Le chien aboie.,Hansi ga gilli.
Les oiseaux chantent le matin.,Curkoy ga dooni subba.
J'ai vu un serpent dans le jardin.,Ay di gondi fo kaley ra.
N'aie pas peur.,Ma si humburu.
Le cheval court vite.,Bariya ga zuru da waasu.
La vache donne du lait.,Hawey ga wa no.
Les moutons broutent l'herbe.,Feejey ga subu ŋwa.
Le lion est le roi des animaux.,Muusu beero no ga ti almaney bonkoono.
L'éléphant est très grand.,Yee no ga beeri gumo.
Le fleuve Niger est long.,Isa ga ku.
Il y a beaucoup de poissons dans le fleuve.,Hamisa beeri no go isoo ra.
Les pêcheurs attrapent du poisson.,Hamisadinkey ga hamisa di.
Nous mangeons du poisson grillé.,Iri ga hamisa sumbalante ŋwa.
Le désert est vaste et sec.,"Saajiya ga beeri, a ga koogu."
